price_date,island,fuel_code,pop_weighted_avg_nzd_per_l,year,month,season
2024-06-07,South,P95,2.865,2024,6,Winter
2024-06-07,South,P98,3.032,2024,6,Winter
2024-06-14,North,DSL,2.009,2024,6,Winter
2024-06-14,North,P91,2.662,2024,6,Winter
2024-06-14,North,P95,2.842,2024,6,Winter
2024-06-14,North,P98,3.017,2024,6,Winter
2024-06-14,South,DSL,1.98,2024,6,Winter
2024-06-14,South,P91,2.638,2024,6,Winter
2024-06-14,South,P95,2.802,2024,6,Winter
2024-06-14,South,P98,2.983,2024,6,Winter
2024-06-21,North,DSL,1.984,2024,6,Winter
2024-06-21,North,P91,2.639,2024,6,Winter
2024-06-21,North,P95,2.827,2024,6,Winter
2024-06-21,North,P98,2.998,2024,6,Winter
2024-06-21,South,DSL,1.979,2024,6,Winter
2024-06-21,South,P91,2.63,2024,6,Winter
2024-06-21,South,P95,2.806,2024,6,Winter
2024-06-21,South,P98,2.979,2024,6,Winter
2024-06-28,North,DSL,2.027,2024,6,Winter
2024-06-28,North,P91,2.691,2024,6,Winter
2024-06-28,North,P95,2.841,2024,6,Winter
2024-06-28,North,P98,3.017,2024,6,Winter
2024-06-28,South,DSL,2.0,2024,6,Winter
2024-06-28,South,P91,2.649,2024,6,Winter
2024-06-28,South,P95,2.825,2024,6,Winter
2024-06-28,South,P98,3.008,2024,6,Winter
2024-07-05,North,DSL,1.946,2024,7,Winter
2024-07-05,North,P91,2.593,2024,7,Winter
2024-07-05,North,P95,2.771,2024,7,Winter
2024-07-05,North,P98,2.938,2024,7,Winter
2024-07-05,South,DSL,1.971,2024,7,Winter
2024-07-05,South,P91,2.628,2024,7,Winter
2024-07-05,South,P95,2.8,2024,7,Winter
2024-07-05,South,P98,2.97,2024,7,Winter
2024-07-12,North,DSL,1.958,2024,7,Winter
2024-07-12,North,P91,2.613,2024,7,Winter
2024-07-12,North,P95,2.791,2024,7,Winter
2024-07-12,North,P98,2.952,2024,7,Winter
2024-07-12,South,DSL,1.985,2024,7,Winter
2024-07-12,South,P91,2.643,2024,7,Winter
2024-07-12,South,P95,2.82,2024,7,Winter
2024-07-12,South,P98,2.975,2024,7,Winter
2024-07-19,North,DSL,1.962,2024,7,Winter
2024-07-19,North,P91,2.625,2024,7,Winter
2024-07-19,North,P95,2.786,2024,7,Winter
2024-07-19,North,P98,2.953,2024,7,Winter
2024-07-19,South,DSL,1.993,2024,7,Winter
2024-07-19,South,P91,2.651,2024,7,Winter
2024-07-19,South,P95,2.829,2024,7,Winter
2024-07-19,South,P98,2.993,2024,7,Winter
2024-07-26,North,DSL,1.955,2024,7,Winter
2024-07-26,North,P91,2.628,2024,7,Winter
2024-07-26,North,P95,2.792,2024,7,Winter
2024-07-26,North,P98,2.962,2024,7,Winter
2024-07-26,South,DSL,1.998,2024,7,Winter
2024-07-26,South,P91,2.648,2024,7,Winter
2024-07-26,South,P95,2.824,2024,7,Winter
2024-07-26,South,P98,2.997,2024,7,Winter
2024-08-02,North,DSL,1.942,2024,8,Winter
2024-08-02,North,P91,2.596,2024,8,Winter
2024-08-02,North,P95,2.766,2024,8,Winter
2024-08-02,North,P98,2.948,2024,8,Winter
2024-08-02,South,DSL,1.972,2024,8,Winter
2024-08-02,South,P91,2.632,2024,8,Winter
2024-08-02,South,P95,2.81,2024,8,Winter
2024-08-02,South,P98,2.976,2024,8,Winter
2024-08-09,North,DSL,1.938,2024,8,Winter
2024-08-09,North,P91,2.594,2024,8,Winter
2024-08-09,North,P95,2.764,2024,8,Winter
2024-08-09,North,P98,2.941,2024,8,Winter
2024-08-09,South,DSL,1.966,2024,8,Winter
2024-08-09,South,P91,2.627,2024,8,Winter
2024-08-09,South,P95,2.784,2024,8,Winter
2024-08-09,South,P98,2.96,2024,8,Winter
2024-08-16,North,DSL,1.91,2024,8,Winter
2024-08-16,North,P91,2.581,2024,8,Winter
2024-08-16,North,P95,2.75,2024,8,Winter
2024-08-16,North,P98,2.919,2024,8,Winter
2024-08-16,South,DSL,1.948,2024,8,Winter
2024-08-16,South,P91,2.598,2024,8,Winter
2024-08-16,South,P95,2.772,2024,8,Winter
2024-08-16,South,P98,2.941,2024,8,Winter
2024-08-23,North,DSL,1.887,2024,8,Winter
2024-08-23,North,P91,2.566,2024,8,Winter
2024-08-23,North,P95,2.718,2024,8,Winter
2024-08-23,North,P98,2.904,2024,8,Winter
2024-08-23,South,DSL,1.912,2024,8,Winter
2024-08-23,South,P91,2.588,2024,8,Winter
2024-08-23,South,P95,2.754,2024,8,Winter
2024-08-23,South,P98,2.923,2024,8,Winter
2024-08-30,North,DSL,1.862,2024,8,Winter
2024-08-30,North,P91,2.533,2024,8,Winter
2024-08-30,North,P95,2.693,2024,8,Winter
2024-08-30,North,P98,2.871,2024,8,Winter
2024-08-30,South,DSL,1.892,2024,8,Winter
2024-08-30,South,P91,2.566,2024,8,Winter
2024-08-30,South,P95,2.739,2024,8,Winter
2024-08-30,South,P98,2.894,2024,8,Winter
2024-09-06,North,DSL,1.839,2024,9,Spring
2024-09-06,North,P91,2.52,2024,9,Spring
2024-09-06,North,P95,2.678,2024,9,Spring
2024-09-06,North,P98,2.837,2024,9,Spring
2024-09-06,South,DSL,1.851,2024,9,Spring
2024-09-06,South,P91,2.534,2024,9,Spring
2024-09-06,South,P95,2.71,2024,9,Spring
2024-09-06,South,P98,2.87,2024,9,Spring
2024-09-13,North,DSL,1.812,2024,9,Spring
2024-09-13,North,P91,2.49,2024,9,Spring
2024-09-13,North,P95,2.658,2024,9,Spring
2024-09-13,North,P98,2.833,2024,9,Spring
2024-09-13,South,DSL,1.839,2024,9,Spring
2024-09-13,South,P91,2.517,2024,9,Spring
2024-09-13,South,P95,2.687,2024,9,Spring
2024-09-13,South,P98,2.867,2024,9,Spring
2024-09-20,North,DSL,1.775,2024,9,Spring
2024-09-20,North,P91,2.462,2024,9,Spring
2024-09-20,North,P95,2.627,2024,9,Spring
2024-09-20,North,P98,2.809,2024,9,Spring
2024-09-20,South,DSL,1.8,2024,9,Spring
2024-09-20,South,P91,2.487,2024,9,Spring
2024-09-20,South,P95,2.652,2024,9,Spring
2024-09-20,South,P98,2.828,2024,9,Spring
2024-09-27,North,DSL,1.749,2024,9,Spring
2024-09-27,North,P91,2.45,2024,9,Spring
2024-09-27,North,P95,2.616,2024,9,Spring
2024-09-27,North,P98,2.783,2024,9,Spring
2024-09-27,South,DSL,1.778,2024,9,Spring
2024-09-27,South,P91,2.473,2024,9,Spring
2024-09-27,South,P95,2.653,2024,9,Spring
2024-09-27,South,P98,2.816,2024,9,Spring
2024-10-04,North,DSL,1.717,2024,10,Spring
2024-10-04,North,P91,2.446,2024,10,Spring
2024-10-04,North,P95,2.633,2024,10,Spring
2024-10-04,North,P98,2.785,2024,10,Spring
2024-10-04,South,DSL,1.747,2024,10,Spring
2024-10-04,South,P91,2.473,2024,10,Spring
2024-10-04,South,P95,2.657,2024,10,Spring
2024-10-04,South,P98,2.809,2024,10,Spring
2024-10-11,North,DSL,1.756,2024,10,Spring
2024-10-11,North,P91,2.461,2024,10,Spring
2024-10-11,North,P95,2.632,2024,10,Spring
2024-10-11,North,P98,2.815,2024,10,Spring
2024-10-11,South,DSL,1.795,2024,10,Spring
2024-10-11,South,P91,2.5,2024,10,Spring
2024-10-11,South,P95,2.674,2024,10,Spring
2024-10-11,South,P98,2.84,2024,10,Spring
2024-10-18,North,DSL,1.796,2024,10,Spring
2024-10-18,North,P91,2.492,2024,10,Spring
2024-10-18,North,P95,2.668,2024,10,Spring
2024-10-18,North,P98,2.844,2024,10,Spring
2024-10-18,South,DSL,1.828,2024,10,Spring
2024-10-18,South,P91,2.525,2024,10,Spring
2024-10-18,South,P95,2.706,2024,10,Spring
2024-10-18,South,P98,2.883,2024,10,Spring
2024-10-25,North,DSL,1.795,2024,10,Spring
2024-10-25,North,P91,2.504,2024,10,Spring
2024-10-25,North,P95,2.689,2024,10,Spring
2024-10-25,North,P98,2.847,2024,10,Spring
2024-10-25,South,DSL,1.824,2024,10,Spring
2024-10-25,South,P91,2.542,2024,10,Spring
2024-10-25,South,P95,2.716,2024,10,Spring
2024-10-25,South,P98,2.883,2024,10,Spring
2024-11-01,North,DSL,1.783,2024,11,Spring
2024-11-01,North,P91,2.488,2024,11,Spring
2024-11-01,North,P95,2.663,2024,11,Spring
2024-11-01,North,P98,2.842,2024,11,Spring
2024-11-01,South,DSL,1.817,2024,11,Spring
2024-11-01,South,P91,2.526,2024,11,Spring
2024-11-01,South,P95,2.695,2024,11,Spring
2024-11-01,South,P98,2.87,2024,11,Spring
2024-11-08,North,DSL,1.804,2024,11,Spring
2024-11-08,North,P91,2.506,2024,11,Spring
2024-11-08,North,P95,2.678,2024,11,Spring
2024-11-08,North,P98,2.854,2024,11,Spring
2024-11-08,South,DSL,1.826,2024,11,Spring
2024-11-08,South,P91,2.544,2024,11,Spring
2024-11-08,South,P95,2.712,2024,11,Spring
2024-11-08,South,P98,2.877,2024,11,Spring
2024-11-15,North,DSL,1.812,2024,11,Spring
2024-11-15,North,P91,2.531,2024,11,Spring
2024-11-15,North,P95,2.708,2024,11,Spring
2024-11-15,North,P98,2.873,2024,11,Spring
2024-11-15,South,DSL,1.858,2024,11,Spring
2024-11-15,South,P91,2.562,2024,11,Spring
2024-11-15,South,P95,2.735,2024,11,Spring
2024-11-15,South,P98,2.91,2024,11,Spring
2024-11-22,North,DSL,1.824,2024,11,Spring
2024-11-22,North,P91,2.532,2024,11,Spring
2024-11-22,North,P95,2.703,2024,11,Spring
2024-11-22,North,P98,2.884,2024,11,Spring
2024-11-22,South,DSL,1.857,2024,11,Spring
2024-11-22,South,P91,2.549,2024,11,Spring
2024-11-22,South,P95,2.734,2024,11,Spring
2024-11-22,South,P98,2.895,2024,11,Spring
2024-11-29,North,DSL,1.819,2024,11,Spring
2024-11-29,North,P91,2.536,2024,11,Spring
2024-11-29,North,P95,2.706,2024,11,Spring
2024-11-29,North,P98,2.872,2024,11,Spring
2024-11-29,South,DSL,1.866,2024,11,Spring
2024-11-29,South,P91,2.551,2024,11,Spring
2024-11-29,South,P95,2.75,2024,11,Spring
2024-11-29,South,P98,2.919,2024,11,Spring
2024-12-06,North,DSL,1.82,2024,12,Summer
2024-12-06,North,P91,2.526,2024,12,Summer
2024-12-06,North,P95,2.71,2024,12,Summer
2024-12-06,North,P98,2.861,2024,12,Summer
2024-12-06,South,DSL,1.852,2024,12,Summer
2024-12-06,South,P91,2.563,2024,12,Summer
2024-12-06,South,P95,2.728,2024,12,Summer
2024-12-06,South,P98,2.901,2024,12,Summer
2024-12-13,North,DSL,1.819,2024,12,Summer
2024-12-13,North,P91,2.523,2024,12,Summer
2024-12-13,North,P95,2.705,2024,12,Summer
2024-12-13,North,P98,2.872,2024,12,Summer
2024-12-13,South,DSL,1.845,2024,12,Summer
2024-12-13,South,P91,2.561,2024,12,Summer
2024-12-13,South,P95,2.723,2024,12,Summer
2024-12-13,South,P98,2.898,2024,12,Summer
2024-12-20,North,DSL,1.852,2024,12,Summer
2024-12-20,North,P91,2.564,2024,12,Summer
2024-12-20,North,P95,2.725,2024,12,Summer
2024-12-20,North,P98,2.902,2024,12,Summer
2024-12-20,South,DSL,1.878,2024,12,Summer
2024-12-20,South,P91,2.582,2024,12,Summer
2024-12-20,South,P95,2.766,2024,12,Summer
2024-12-20,South,P98,2.941,2024,12,Summer
2024-12-27,North,DSL,1.88,2024,12,Summer
2024-12-27,North,P91,2.582,2024,12,Summer
2024-12-27,North,P95,2.76,2024,12,Summer
2024-12-27,North,P98,2.925,2024,12,Summer
2024-12-27,South,DSL,1.901,2024,12,Summer
2024-12-27,South,P91,2.63,2024,12,Summer
2024-12-27,South,P95,2.789,2024,12,Summer
2024-12-27,South,P98,2.955,2024,12,Summer
2025-01-03,North,DSL,1.904,2025,1,Summer
2025-01-03,North,P91,2.631,2025,1,Summer
2025-01-03,North,P95,2.789,2025,1,Summer
2025-01-03,North,P98,2.953,2025,1,Summer
2025-01-03,South,DSL,1.941,2025,1,Summer
2025-01-03,South,P91,2.65,2025,1,Summer
2025-01-03,South,P95,2.789,2025,1,Summer
2025-01-03,South,P98,2.966,2025,1,Summer
2025-01-10,North,DSL,1.907,2025,1,Summer
2025-01-10,North,P91,2.631,2025,1,Summer
2025-01-10,North,P95,2.776,2025,1,Summer
2025-01-10,North,P98,2.969,2025,1,Summer
2025-01-10,South,DSL,1.94,2025,1,Summer
2025-01-10,South,P91,2.646,2025,1,Summer
2025-01-10,South,P95,2.815,2025,1,Summer
2025-01-10,South,P98,2.981,2025,1,Summer
2025-01-17,North,DSL,1.933,2025,1,Summer
2025-01-17,North,P91,2.658,2025,1,Summer
2025-01-17,North,P95,2.81,2025,1,Summer
2025-01-17,North,P98,2.98,2025,1,Summer
2025-01-17,South,DSL,1.975,2025,1,Summer
2025-01-17,South,P91,2.677,2025,1,Summer
2025-01-17,South,P95,2.832,2025,1,Summer
2025-01-17,South,P98,3.008,2025,1,Summer
2025-01-24,North,DSL,1.969,2025,1,Summer
2025-01-24,North,P91,2.684,2025,1,Summer
2025-01-24,North,P95,2.841,2025,1,Summer
2025-01-24,North,P98,3.003,2025,1,Summer
2025-01-24,South,DSL,2.007,2025,1,Summer
2025-01-24,South,P91,2.707,2025,1,Summer
2025-01-24,South,P95,2.853,2025,1,Summer
2025-01-24,South,P98,3.033,2025,1,Summer
2025-01-31,North,DSL,1.982,2025,1,Summer
2025-01-31,North,P91,2.679,2025,1,Summer
2025-01-31,North,P95,2.833,2025,1,Summer
2025-01-31,North,P98,2.994,2025,1,Summer
2025-01-31,South,DSL,2.01,2025,1,Summer
2025-01-31,South,P91,2.714,2025,1,Summer
2025-01-31,South,P95,2.863,2025,1,Summer
2025-01-31,South,P98,3.031,2025,1,Summer
2025-02-07,North,DSL,1.969,2025,2,Summer
2025-02-07,North,P91,2.659,2025,2,Summer
2025-02-07,North,P95,2.819,2025,2,Summer
2025-02-07,North,P98,2.991,2025,2,Summer
2025-02-07,South,DSL,2.013,2025,2,Summer
2025-02-07,South,P91,2.701,2025,2,Summer
2025-02-07,South,P95,2.841,2025,2,Summer
2025-02-07,South,P98,3.019,2025,2,Summer
2025-02-14,North,DSL,1.962,2025,2,Summer
2025-02-14,North,P91,2.652,2025,2,Summer
2025-02-14,North,P95,2.809,2025,2,Summer
2025-02-14,North,P98,2.981,2025,2,Summer
2025-02-14,South,DSL,1.994,2025,2,Summer
2025-02-14,South,P91,2.688,2025,2,Summer
2025-02-14,South,P95,2.849,2025,2,Summer
2025-02-14,South,P98,3.006,2025,2,Summer
2025-02-21,North,DSL,1.964,2025,2,Summer
2025-02-21,North,P91,2.66,2025,2,Summer
2025-02-21,North,P95,2.806,2025,2,Summer
2025-02-21,North,P98,2.978,2025,2,Summer
2025-02-21,South,DSL,1.981,2025,2,Summer
2025-02-21,South,P91,2.686,2025,2,Summer
2025-02-21,South,P95,2.836,2025,2,Summer
2025-02-21,South,P98,3.011,2025,2,Summer
2025-02-28,North,DSL,1.966,2025,2,Summer
2025-02-28,North,P91,2.648,2025,2,Summer
2025-02-28,North,P95,2.793,2025,2,Summer
2025-02-28,North,P98,2.974,2025,2,Summer
2025-02-28,South,DSL,1.979,2025,2,Summer
2025-02-28,South,P91,2.674,2025,2,Summer
2025-02-28,South,P95,2.827,2025,2,Summer
2025-02-28,South,P98,2.996,2025,2,Summer
2025-03-07,North,DSL,1.939,2025,3,Autumn
2025-03-07,North,P91,2.641,2025,3,Autumn
2025-03-07,North,P95,2.798,2025,3,Autumn
2025-03-07,North,P98,2.958,2025,3,Autumn
2025-03-07,South,DSL,1.966,2025,3,Autumn
2025-03-07,South,P91,2.662,2025,3,Autumn
2025-03-07,South,P95,2.813,2025,3,Autumn
2025-03-07,South,P98,2.993,2025,3,Autumn
2025-03-14,North,DSL,1.925,2025,3,Autumn
2025-03-14,North,P91,2.62,2025,3,Autumn
2025-03-14,North,P95,2.753,2025,3,Autumn
2025-03-14,North,P98,2.94,2025,3,Autumn
2025-03-14,South,DSL,1.962,2025,3,Autumn
2025-03-14,South,P91,2.642,2025,3,Autumn
2025-03-14,South,P95,2.798,2025,3,Autumn
2025-03-14,South,P98,2.965,2025,3,Autumn
2025-03-21,North,DSL,1.918,2025,3,Autumn
2025-03-21,North,P91,2.595,2025,3,Autumn
2025-03-21,North,P95,2.74,2025,3,Autumn
2025-03-21,North,P98,2.921,2025,3,Autumn
2025-03-21,South,DSL,1.948,2025,3,Autumn
2025-03-21,South,P91,2.628,2025,3,Autumn
2025-03-21,South,P95,2.783,2025,3,Autumn
2025-03-21,South,P98,2.958,2025,3,Autumn
2025-03-28,North,DSL,1.897,2025,3,Autumn
2025-03-28,North,P91,2.585,2025,3,Autumn
2025-03-28,North,P95,2.735,2025,3,Autumn
2025-03-28,North,P98,2.911,2025,3,Autumn
2025-03-28,South,DSL,1.927,2025,3,Autumn
2025-03-28,South,P91,2.616,2025,3,Autumn
2025-03-28,South,P95,2.762,2025,3,Autumn
2025-03-28,South,P98,2.937,2025,3,Autumn
2025-04-04,North,DSL,1.894,2025,4,Autumn
2025-04-04,North,P91,2.587,2025,4,Autumn
2025-04-04,North,P95,2.752,2025,4,Autumn
2025-04-04,North,P98,2.923,2025,4,Autumn
2025-04-04,South,DSL,1.927,2025,4,Autumn
2025-04-04,South,P91,2.626,2025,4,Autumn
2025-04-04,South,P95,2.781,2025,4,Autumn
2025-04-04,South,P98,2.95,2025,4,Autumn
2025-04-11,North,DSL,1.881,2025,4,Autumn
2025-04-11,North,P91,2.574,2025,4,Autumn
2025-04-11,North,P95,2.732,2025,4,Autumn
2025-04-11,North,P98,2.905,2025,4,Autumn
2025-04-11,South,DSL,1.916,2025,4,Autumn
2025-04-11,South,P91,2.6,2025,4,Autumn
2025-04-11,South,P95,2.759,2025,4,Autumn
2025-04-11,South,P98,2.925,2025,4,Autumn
2025-04-18,North,DSL,1.853,2025,4,Autumn
2025-04-18,North,P91,2.545,2025,4,Autumn
2025-04-18,North,P95,2.716,2025,4,Autumn
2025-04-18,North,P98,2.876,2025,4,Autumn
2025-04-18,South,DSL,1.884,2025,4,Autumn
2025-04-18,South,P91,2.566,2025,4,Autumn
2025-04-18,South,P95,2.738,2025,4,Autumn
